#input
r(A),H1-H1,H1-H2,H1-O,H2-H1,H2-H2,H2-O,O-H1,O-H2,O-O
277.9875,0.999999999997854,0.9999999999984319,0.9999999999996348,0.9999999999985179,0.9999999999998594,0.9999999999987539,0.9999999999994438,0.9999999999989988,0.9999999999991995
278.0125,0.9999999999977589,1.000000000000222,0.9999999999995628,0.9999999999986593,0.9999999999993117,0.9999999999987358,0.9999999999993838,0.9999999999989683,0.9999999999995703
278.0375,0.999999999997413,0.9999999999983746,0.9999999999995308,0.9999999999987181,0.9999999999997384,0.9999999999989643,0.9999999999994964,0.9999999999990513,0.9999999999994678
278.0625,0.9999999999977718,0.999999999999997,0.99999999999923,0.9999999999988556,0.9999999999992861,0.99999999999888,0.9999999999993627,0.9999999999987992,0.9999999999996176
278.08750000000003,0.9999999999974327,1.0000000000008353,0.9999999999993862,0.9999999999989067,0.9999999999982656,0.9999999999989728,0.9999999999993272,0.9999999999990832,1.0000000000047076
278.1125,1.0000000000027849,1.0000000000000129,0.9999999999992893,0.9999999999989588,0.9999999999993756,0.9999999999987972,0.9999999999991263,0.9999999999990111,0.9999999999996774
278.1375,1.0000000000051967,1.0000000000058504,0.9999999999994291,0.9999999999989589,0.9999999999984408,0.9999999999990676,0.999999999999312,0.9999999999992347,0.9999999999981275
278.1625,1.0000000000028302,1.000000000000019,0.9999999999991716,0.9999999999991322,0.9999999999995448,0.9999999999989881,0.9999999999990593,0.9999999999991501,0.9999999999997495
278.1875,1.0000000000049605,1.000000000005718,0.9999999999993648,0.9999999999991611,0.9999999999983509,0.9999999999991053,0.9999999999991552,0.999999999999364,0.9999999999945854
278.21250000000003,0.9999999999976541,1.0000000000000706,0.99999999999934,0.9999999999992368,0.9999999999995421,0.9999999999989323,0.9999999999990279,0.9999999999992925,0.9999999999998181
278.2375,0.9999999999974039,0.9999999999982373,0.9999999999995192,0.9999999999993054,0.9999999999986078,0.9999999999991191,0.9999999999992057,0.9999999999994801,1.0000000000018088
278.2625,1.0000000000024547,1.000000000000148,0.9999999999994463,0.9999999999994986,0.9999999999995732,0.9999999999990518,0.9999999999991315,0.9999999999994129,0.9999999999998899
278.2875,1.0000000000047873,1.0000000000009073,0.9999999999996068,0.9999999999996798,0.9999999999999761,0.9999999999991592,0.9999999999993203,0.9999999999994923,0.9999999999982663
278.3125,0.9999999999972387,1.0000000000000882,0.9999999999994723,0.999999999999666,0.9999999999995237,0.9999999999989309,0.9999999999991878,0.9999999999992606,0.9999999999999529
278.33750000000003,0.9999999999970877,0.9999999999984039,0.9999999999997415,0.9999999999997339,0.9999999999999944,0.999999999999226,0.9999999999994448,0.9999999999995682,0.9999999999947067
278.3625,1.0000000000021787,0.9999999999998663,0.9999999999996395,0.9999999999996712,0.9999999999995208,0.9999999999991465,0.9999999999992696,0.9999999999995605,1.0000000000000002
